slot1,slot2,material1,material2,result_material,tier_change
Helm,Helm,D,S,H,-1
Body,Helm,L,S,D,1
Body,Helm,B,S,B,0
Body,Helm,I,S,I,0
Body,Helm,H,S,H,0
Body,Helm,S,S,S,0
Body,Helm,D,S,D,0
Leg,Helm,L,S,B,0
Leg,Helm,B,S,B,0
Leg,Helm,I,S,I,0
Leg,Helm,H,S,H,0
Leg,Helm,S,S,S,0
Leg,Helm,D,S,D,0
Arm,Helm,L,S,B,0
Arm,Helm,B,S,B,0
Arm,Helm,I,S,I,0
Arm,Helm,H,S,H,0
Arm,Helm,S,S,S,0
Arm,Helm,D,S,D,0
Helm,Helm,L,D,H,0
Helm,Helm,B,D,H,0
Helm,Helm,I,D,I,0
Helm,Helm,H,D,H,0
Helm,Helm,S,D,H,-1
Helm,Helm,D,D,D,0
Body,Helm,L,D,B,0
Body,Helm,B,D,B,0
Body,Helm,I,D,I,0
Body,Helm,H,D,H,0
Body,Helm,S,D,S,0
Body,Helm,D,D,D,0
Leg,Helm,L,D,B,0
Leg,Helm,B,D,B,0
Leg,Helm,I,D,I,0
Leg,Helm,H,D,H,0
Leg,Helm,S,D,S,0
Leg,Helm,D,D,D,0
Arm,Helm,L,D,B,0
Arm,Helm,B,D,B,0
Arm,Helm,I,D,I,0
Arm,Helm,H,D,H,0
Arm,Helm,S,D,S,0
Arm,Helm,D,D,D,0
Helm,Body,L,L,L,0
Helm,Body,B,L,B,0
Helm,Body,I,L,B,0
Helm,Body,H,L,B,0
Helm,Body,S,L,B,0
Helm,Body,D,L,B,0
Body,Body,L,L,L,0
Body,Body,B,L,B,0
Body,Body,I,L,H,1
Body,Body,H,L,H,0
Body,Body,S,L,H,0
Body,Body,D,L,H,0
Leg,Body,L,L,L,0
Leg,Body,B,L,B,0
Leg,Body,I,L,I,0
Leg,Body,H,L,H,0
Leg,Body,S,L,S,0
Leg,Body,D,L,D,0
Arm,Body,L,L,L,0
Arm,Body,B,L,B,0
Arm,Body,I,L,I,0
Arm,Body,H,L,H,0
Arm,Body,S,L,S,0
Arm,Body,D,L,D,0
Helm,Body,L,B,B,0
Helm,Body,B,B,B,0
Helm,Body,I,B,B,0
Helm,Body,H,B,B,0
Helm,Body,S,B,B,0
Helm,Body,D,B,B,0
Body,Body,L,B,B,0
Body,Body,B,B,B,0
Body,Body,I,B,H,1
Body,Body,H,B,H,0
Body,Body,S,B,H,0
Body,Body,D,B,H,0
Leg,Body,L,B,B,0
Leg,Body,B,B,B,0
Leg,Body,I,B,I,0
Leg,Body,H,B,H,0
Leg,Body,S,B,S,0
Leg,Body,D,B,D,0
Arm,Body,L,B,B,0
Arm,Body,B,B,B,0
Arm,Body,I,B,I,0
Arm,Body,H,B,H,0
Arm,Body,S,B,S,0
Arm,Body,D,B,D,0
Helm,Body,L,I,B,0
Helm,Body,B,I,I,0
Helm,Body,I,I,I,0
Helm,Body,H,I,I,0
Helm,Body,S,I,I,0
Helm,Body,D,I,I,0
Body,Body,L,I,H,1
Body,Body,B,I,H,1
Body,Body,I,I,I,0
Body,Body,H,I,H,0
Body,Body,S,I,H,0
Body,Body,D,I,H,0
Leg,Body,L,I,I,0
Leg,Body,B,I,B,0
Leg,Body,I,I,I,0
Leg,Body,H,I,H,0
Leg,Body,S,I,S,0
Leg,Body,D,I,D,0
Arm,Body,L,I,I,0
Arm,Body,B,I,B,0
Arm,Body,I,I,I,0
Arm,Body,H,I,H,0
Arm,Body,S,I,S,0
Arm,Body,D,I,D,0
Helm,Body,L,H,H,0
Helm,Body,B,H,H,0
Helm,Body,I,H,H,0
Helm,Body,H,H,H,0
Helm,Body,S,H,H,0
Helm,Body,D,H,H,0
Body,Body,L,H,H,0
Body,Body,B,H,H,0
Body,Body,I,H,H,0
Body,Body,H,H,H,0
Body,Body,S,H,I,-1
Body,Body,D,H,H,0
Leg,Body,L,H,B,0
Leg,Body,B,H,B,0
Leg,Body,I,H,I,0
Leg,Body,H,H,H,0
Leg,Body,S,H,D,1
Leg,Body,D,H,D,0
Arm,Body,L,H,B,0
Arm,Body,B,H,B,0
Arm,Body,I,H,I,0
Arm,Body,H,H,H,0
Arm,Body,S,H,S,0
Arm,Body,D,H,D,0
Helm,Body,L,S,S,0
Helm,Body,B,S,S,0
Helm,Body,I,S,S,0
Helm,Body,H,S,S,0
Helm,Body,S,S,S,0
Helm,Body,D,S,S,0
Body,Body,L,S,H,0
Body,Body,B,S,H,0
Body,Body,I,S,H,0
Body,Body,H,S,I,-1
Body,Body,S,S,S,0
Body,Body,D,S,H,-1
Leg,Body,L,S,B,0
Leg,Body,B,S,B,0
Leg,Body,I,S,I,0
Leg,Body,H,S,H,0
Leg,Body,S,S,S,0
Leg,Body,D,S,D,0
Arm,Body,L,S,B,0
Arm,Body,B,S,B,0
Arm,Body,I,S,I,0
Arm,Body,H,S,H,0
Arm,Body,S,S,S,0
Arm,Body,D,S,D,0
Helm,Body,L,D,D,0
Helm,Body,B,D,D,0
Helm,Body,I,D,D,0
Helm,Body,H,D,D,0
Helm,Body,S,D,D,0
Helm,Body,D,D,D,0
Body,Body,L,D,H,0
Body,Body,B,D,H,0
Body,Body,I,D,H,0
Body,Body,H,D,H,0
Body,Body,S,D,H,-1
Body,Body,D,D,D,0
Leg,Body,L,D,B,0
Leg,Body,B,D,B,0
Leg,Body,I,D,I,0
Leg,Body,H,D,H,0
Leg,Body,S,D,S,0
Leg,Body,D,D,D,0
Arm,Body,L,D,B,0
Arm,Body,B,D,B,0
Arm,Body,I,D,I,0
Arm,Body,H,D,H,0
Arm,Body,S,D,S,0
Arm,Body,D,D,D,0
Helm,Leg,L,L,L,0
Helm,Leg,B,L,B,0
Helm,Leg,I,L,B,0
Helm,Leg,H,L,B,0
Helm,Leg,S,L,D,1
Helm,Leg,D,L,B,0
Body,Leg,L,L,L,0
Body,Leg,B,L,B,0
Body,Leg,I,L,B,0
Body,Leg,H,L,B,0
Body,Leg,S,L,B,0
Body,Leg,D,L,B,0
Leg,Leg,L,L,L,0
Leg,Leg,B,L,B,0
Leg,Leg,I,L,H,1
Leg,Leg,H,L,H,0
Leg,Leg,S,L,H,0
Leg,Leg,D,L,H,0
Arm,Leg,L,L,L,0
Arm,Leg,B,L,B,0
Arm,Leg,I,L,B,0
Arm,Leg,H,L,B,0
Arm,Leg,S,L,B,0
Arm,Leg,D,L,S,0
Helm,Leg,L,B,B,0
Helm,Leg,B,B,B,0
Helm,Leg,I,B,B,0
Helm,Leg,H,B,B,0
Helm,Leg,S,B,B,0
Helm,Leg,D,B,B,0
Body,Leg,L,B,B,0
Body,Leg,B,B,B,0
Body,Leg,I,B,B,0
Body,Leg,H,B,B,0
Body,Leg,S,B,B,0
Body,Leg,D,B,B,0
Leg,Leg,L,B,B,0
Leg,Leg,B,B,B,0
Leg,Leg,I,B,H,1
Leg,Leg,H,B,H,0
Leg,Leg,S,B,H,0
Leg,Leg,D,B,H,0
Arm,Leg,L,B,B,0
Arm,Leg,B,B,B,0
Arm,Leg,I,B,B,0
Arm,Leg,H,B,B,0
Arm,Leg,S,B,B,0
Arm,Leg,D,B,B,0
Helm,Leg,L,I,B,0
Helm,Leg,B,I,I,0
Helm,Leg,I,I,I,0
Helm,Leg,H,I,I,0
Helm,Leg,S,I,I,0
Helm,Leg,D,I,I,0
Body,Leg,L,I,B,0
Body,Leg,B,I,I,0
Body,Leg,I,I,I,0
Body,Leg,H,I,I,0
Body,Leg,S,I,I,0
Body,Leg,D,I,I,0
Leg,Leg,L,I,H,1
Leg,Leg,B,I,H,1
Leg,Leg,I,I,I,0
Leg,Leg,H,I,H,0
Leg,Leg,S,I,H,0
Leg,Leg,D,I,H,0
Arm,Leg,L,I,B,0
Arm,Leg,B,I,I,0
Arm,Leg,I,I,I,0
Arm,Leg,H,I,I,0
Arm,Leg,S,I,I,0
Arm,Leg,D,I,I,0
Helm,Leg,L,H,H,0
Helm,Leg,B,H,H,0
Helm,Leg,I,H,H,0
Helm,Leg,H,H,H,0
Helm,Leg,S,H,H,0
Helm,Leg,D,H,H,0
Body,Leg,L,H,H,0
Body,Leg,B,H,H,0
Body,Leg,I,H,H,0
Body,Leg,H,H,H,0
Body,Leg,S,H,H,0
Body,Leg,D,H,H,0
Leg,Leg,L,H,H,0
Leg,Leg,B,H,H,0
Leg,Leg,I,H,H,0
Leg,Leg,H,H,H,0
Leg,Leg,S,H,S,0
Leg,Leg,D,H,H,0
Arm,Leg,L,H,H,0
Arm,Leg,B,H,H,0
Arm,Leg,I,H,H,0
Arm,Leg,H,H,H,0
Arm,Leg,S,H,H,0
Arm,Leg,D,H,H,0
Helm,Leg,L,S,S,0
Helm,Leg,B,S,S,0
Helm,Leg,I,S,S,0
Helm,Leg,H,S,S,0
Helm,Leg,S,S,S,0
Helm,Leg,D,S,S,0
Body,Leg,L,S,S,0
Body,Leg,B,S,S,0
Body,Leg,I,S,S,0
Body,Leg,H,S,S,0
Body,Leg,S,S,S,0
Body,Leg,D,S,S,0
Leg,Leg,L,S,H,0
Leg,Leg,B,S,H,0
Leg,Leg,I,S,H,0
Leg,Leg,H,S,D,1
Leg,Leg,S,S,S,0
Leg,Leg,D,S,H,-1
Arm,Leg,L,S,S,0
Arm,Leg,B,S,S,0
Arm,Leg,I,S,S,0
Arm,Leg,H,S,S,0
Arm,Leg,S,S,S,0
Arm,Leg,D,S,S,0
Helm,Leg,L,D,D,0
Helm,Leg,B,D,D,0
Helm,Leg,I,D,D,0
Helm,Leg,H,D,D,0
Helm,Leg,S,D,D,0
Helm,Leg,D,D,D,0
Body,Leg,L,D,D,0
Body,Leg,B,D,D,0
Body,Leg,I,D,D,0
Body,Leg,H,D,D,0
Body,Leg,S,D,D,0
Body,Leg,D,D,D,0
Leg,Leg,L,D,H,0
Leg,Leg,B,D,H,0
Leg,Leg,I,D,H,0
Leg,Leg,H,D,H,0
Leg,Leg,S,D,H,-1
Leg,Leg,D,D,D,0
Arm,Leg,L,D,D,0
Arm,Leg,B,D,D,0
Arm,Leg,I,D,D,0
Arm,Leg,H,D,D,0
Arm,Leg,S,D,D,0
Arm,Leg,D,D,D,0
Helm,Arm,L,L,L,0
Helm,Arm,B,L,B,0
Helm,Arm,I,L,B,0
Helm,Arm,H,L,B,0
Helm,Arm,S,L,B,0
Helm,Arm,D,L,B,0
Body,Arm,L,L,L,0
Body,Arm,B,L,B,0
Body,Arm,I,L,B,0
Body,Arm,H,L,B,0
Body,Arm,S,L,B,0
Body,Arm,D,L,B,0
Leg,Arm,L,L,L,0
Leg,Arm,B,L,B,0
Leg,Arm,I,L,I,0
Leg,Arm,H,L,H,0
Leg,Arm,S,L,S,0
Leg,Arm,D,L,D,0
Arm,Arm,L,L,L,0
Arm,Arm,B,L,B,0
Arm,Arm,I,L,H,1
Arm,Arm,H,L,B,0
Arm,Arm,S,L,H,0
Arm,Arm,D,L,H,0
Helm,Arm,L,B,B,0
Helm,Arm,B,B,B,0
Helm,Arm,I,B,B,0
Helm,Arm,H,B,B,0
Helm,Arm,S,B,B,0
Helm,Arm,D,B,B,0
Body,Arm,L,B,B,0
Body,Arm,B,B,B,0
Body,Arm,I,B,B,0
Body,Arm,H,B,B,0
Body,Arm,S,B,B,0
Body,Arm,D,B,B,0
Leg,Arm,L,B,B,0
Leg,Arm,B,B,B,0
Leg,Arm,I,B,I,0
Leg,Arm,H,B,H,0
Leg,Arm,S,B,S,0
Leg,Arm,D,B,D,0
Arm,Arm,L,B,B,0
Arm,Arm,B,B,B,0
Arm,Arm,I,B,H,1
Arm,Arm,H,B,H,0
Arm,Arm,S,B,H,0
Arm,Arm,D,B,H,0
Helm,Arm,L,I,B,0
Helm,Arm,B,I,I,0
Helm,Arm,I,I,I,0
Helm,Arm,H,I,I,0
Helm,Arm,S,I,I,0
Helm,Arm,D,I,I,0
Body,Arm,L,I,B,0
Body,Arm,B,I,I,0
Body,Arm,I,I,I,0
Body,Arm,H,I,I,0
Body,Arm,S,I,I,0
Body,Arm,D,I,I,0
Leg,Arm,L,I,I,0
Leg,Arm,B,I,B,0
Leg,Arm,I,I,I,0
Leg,Arm,H,I,H,0
Leg,Arm,S,I,S,0
Leg,Arm,D,I,D,0
Arm,Arm,L,I,H,1
Arm,Arm,B,I,H,1
Arm,Arm,I,I,I,0
Arm,Arm,H,I,H,0
Arm,Arm,S,I,H,0
Arm,Arm,D,I,H,0
Helm,Arm,L,H,S,0
Helm,Arm,B,H,H,0
Helm,Arm,I,H,H,0
Helm,Arm,H,H,H,0
Helm,Arm,S,H,H,0
Helm,Arm,D,H,H,0
Body,Arm,L,H,H,0
Body,Arm,B,H,H,0
Body,Arm,I,H,H,0
Body,Arm,H,H,H,0
Body,Arm,S,H,H,0
Body,Arm,D,H,H,0
Leg,Arm,L,H,B,0
Leg,Arm,B,H,B,0
Leg,Arm,I,H,I,0
Leg,Arm,H,H,H,0
Leg,Arm,S,H,S,0
Leg,Arm,D,H,D,0
Arm,Arm,L,H,H,0
Arm,Arm,B,H,H,0
Arm,Arm,I,H,H,0
Arm,Arm,H,H,H,0
Arm,Arm,S,H,H,0
Arm,Arm,D,H,H,0
Helm,Arm,L,S,S,0
Helm,Arm,B,S,S,0
Helm,Arm,I,S,S,0
Helm,Arm,H,S,S,0
Helm,Arm,S,S,S,0
Helm,Arm,D,S,S,0
Body,Arm,L,S,S,0
Body,Arm,B,S,S,0
Body,Arm,I,S,S,0
Body,Arm,H,S,S,0
Body,Arm,S,S,S,0
Body,Arm,D,S,S,0
Leg,Arm,L,S,B,0
Leg,Arm,B,S,B,0
Leg,Arm,I,S,I,0
Leg,Arm,H,S,H,0
Leg,Arm,S,S,S,0
Leg,Arm,D,S,D,0
Arm,Arm,L,S,H,0
Arm,Arm,B,S,H,0
Arm,Arm,I,S,H,0
Arm,Arm,H,S,H,0
Arm,Arm,S,S,S,0
Arm,Arm,D,S,H,-1
Helm,Arm,L,D,D,0
Helm,Arm,B,D,D,0
Helm,Arm,I,D,D,0
Helm,Arm,H,D,D,0
Helm,Arm,S,D,D,0
Helm,Arm,D,D,D,0
Body,Arm,L,D,D,0
Body,Arm,B,D,D,0
Body,Arm,I,D,D,0
Body,Arm,H,D,D,0
Body,Arm,S,D,D,0
Body,Arm,D,D,D,0
Leg,Arm,L,D,S,0
Leg,Arm,B,D,B,0
Leg,Arm,I,D,I,0
Leg,Arm,H,D,H,0
Leg,Arm,S,D,S,0
Leg,Arm,D,D,D,0
Arm,Arm,L,D,H,0
Arm,Arm,B,D,H,0
Arm,Arm,I,D,I,0
Arm,Arm,H,D,H,0
Arm,Arm,S,D,H,-1
Arm,Arm,D,D,D,0
